2012-10-25 13:12:52 UT=1351170772 &: ID=28f635ef030000bf PS=0 T=11.81  T1=6.81   P1=0 P1_T=0.000   UP=2C9499 RH=53.8 [ADDR=246.191 SEQ=69 RSSI=5 LQI=240 DRP=1.00]
2012-10-25 13:13:01 UT=1351170781 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FEC4 RH=60.9 V_IN=13.32 [ADDR=181.198 SEQ=113 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:13:11 UT=1351170791 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B8070 RH=35.8
2012-10-25 13:13:50 UT=1351170830 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A3174 RH=72.8 V_IN=4.89  [ADDR=70.253 SEQ=212 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:13:52 UT=1351170832 &: ID=28f635ef030000bf PS=0 T=11.81  T1=6.88   P1=0 P1_T=0.000   UP=2C94D5 RH=53.8 [ADDR=246.191 SEQ=70 RSSI=5 LQI=180 DRP=1.00]
2012-10-25 13:14:01 UT=1351170841 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FF00 RH=62.0 V_IN=13.32 [ADDR=181.198 SEQ=114 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:14:11 UT=1351170851 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B80AC RH=35.8
2012-10-25 13:14:50 UT=1351170890 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A31B0 RH=72.7 V_IN=4.88  [ADDR=70.253 SEQ=213 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:14:52 UT=1351170892 &: ID=28f635ef030000bf PS=0 T=11.88  T1=6.81   P1=0 P1_T=0.000   UP=2C9511 RH=53.8 [ADDR=246.191 SEQ=71 RSSI=5 LQI=196 DRP=1.00]
2012-10-25 13:15:01 UT=1351170901 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FF3C RH=61.5 V_IN=13.29 [ADDR=181.198 SEQ=115 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:15:11 UT=1351170911 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B80E8 RH=35.8
2012-10-25 13:15:50 UT=1351170950 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A31EC RH=72.6 V_IN=4.87  [ADDR=70.253 SEQ=214 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:15:52 UT=1351170952 &: ID=28f635ef030000bf PS=0 T=11.88  T1=6.81   P1=0 P1_T=0.000   UP=2C954D RH=53.8 [ADDR=246.191 SEQ=72 RSSI=5 LQI=208 DRP=1.00]
2012-10-25 13:16:01 UT=1351170961 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FF78 RH=61.7 V_IN=13.29 [ADDR=181.198 SEQ=116 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:16:11 UT=1351170971 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B8124 RH=35.8
2012-10-25 13:16:50 UT=1351171010 &: ID=28461fef030000fd PS=1 T=7.38   T_MCU=7.4   V_MCU=3.08 UP=1A3228 RH=72.6 V_IN=4.89  [ADDR=70.253 SEQ=215 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:16:52 UT=1351171012 &: ID=28f635ef030000bf PS=0 T=11.88  T1=6.81   P1=0 P1_T=0.000   UP=2C9589 RH=53.8 [ADDR=246.191 SEQ=73 RSSI=5 LQI=236 DRP=1.00]
2012-10-25 13:17:01 UT=1351171021 &: ID=28b5a3d2020000c6 PS=1 T=4.38   T_MCU=4.1   V_MCU=3.08 UP=17FFB4 RH=63.3 V_IN=13.34 [ADDR=181.198 SEQ=117 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:17:10 UT=1351171030 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B8160 RH=35.8
2012-10-25 13:17:50 UT=1351171070 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=7.4   V_MCU=3.08 UP=1A3264 RH=72.5 V_IN=4.89  [ADDR=70.253 SEQ=216 RSSI=1 LQI=255 DRP=1.00]
2012-10-25 13:17:52 UT=1351171072 &: ID=28f635ef030000bf PS=0 T=11.94  T1=6.81   P1=0 P1_T=0.000   UP=2C95C5 RH=53.8 [ADDR=246.191 SEQ=74 RSSI=5 LQI=252 DRP=1.00]
2012-10-25 13:18:01 UT=1351171081 &: ID=28b5a3d2020000c6 PS=1 T=4.31   T_MCU=4.1   V_MCU=3.08 UP=17FFF0 RH=63.5 V_IN=13.32 [ADDR=181.198 SEQ=118 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:18:10 UT=1351171090 &: ID=284837ce0200007c PS=0 T=21.81  P0_T=0.000   P1=E P1_T=0.000   UP=B819C RH=35.8
2012-10-25 13:18:17 UT=1351171097 &: ID=28b5a3d2020000c6 PS=1 T=4.25   T_MCU=4.1   V_MCU=3.08 UP=180000 RH=63.4 V_IN=13.32 [ADDR=181.198 SEQ=119 RSSI=0 LQI=255 DRP=1.00]
2012-10-25 13:18:50 UT=1351171130 &: ID=28461fef030000fd PS=1 T=7.31   T_MCU=6.3   V_MCU=3.08 UP=1A32A0 RH=72.4 V_IN=4.88  [ADDR=70.253 SEQ=217 RSSI=2 LQI=240 DRP=1.00]
2012-10-25 13:18:52 UT=1351171132 &: ID=28f635ef030000bf PS=0 T=11.94  T1=6.75   P1=0 P1_T=0.000   UP=2C9601 RH=53.8 [ADDR=246.191 SEQ=75 RSSI=5 LQI=255 DRP=1.00]
2012-10-25 13:19:10 UT=1351171150 &: ID=284837ce0200007c PS=0 T=21.88  P0_T=0.000   P1=E P1_T=0.000   UP=B81D8 RH=35.8
